,content,label,origin
3000,"寝室 收拾 的 好 干净 , 在 此 表示 星 哥振哥 辛苦 了 。",1,1
3001,今晚 心情 好 差 [ 悲伤 ] 谁 陪 我 说说话 [ 悲伤 ],2,5
3002,只 左脚 爱 折 爱 折   很 给 力 . . 今晚 包扎 下   希望 明天 好些   [ 失望 ],2,1
3003,我 也 有 感情用事 的 时候 啊 … …,2,2
3004,[ 泪 ] [ 泪 ] [ 泪 ] 下 了 一个 怀旧 的 游戏,2,2
3005,等 着 晚上 看 电影 、 吃饭 [ 下雨 ],1,5
3006,情人 节 下雨 又 下雪 [ 雪 ] [ 雪 ] 是 咋回事 呢 … … … … [ 哈哈 ] [ 哈哈 ],3,5
3007,大家 觉得 招 新 册 怎样 ? [ 思考 ],0,5
3008,"冬 飘 雪 , 人 摇曳 . 事事 皆 呜咽 .",2,3
3009,"小艾 也 是 才子 啊 , 天 团 才子 多 [ 鼓掌 ]",1,1
3010,冷 啊 。 冰 啊 。 冻 啊,2,2
3011,"天 凉 了 , 懒觉 什么 的 最好 睡 了",3,3
3012,cad 我 好像 已经 领悟 到 了 “ 精益求精 ” 的 道理 了 。,1,2
3013,"近期 真是 各种 黑 , 真是 , 各种 都 有 ! 不 带 这么 欺负 人 的 … …",3,3
3014,我 要 留 长 头发 。 。 我 要 学 化妆 。 。 [ 生病 ] [ 感冒 ] [ 奥特曼 ],2,2
3015,"三 杯 浑 白酒 , 几 句 话 衷肠 。 何时 归 故里 , 和 她 笑 一 场 。",2,5
3016,"尼玛 , 能 不能 不 考试 呀 ? 为 个 考试 我 都 心力交瘁 了",4,4
3017,"我 懂 , 哭 ~",2,2
3018,一 晚上 看 了 2 章 统计   还 被 at 了 11 次 [ 晕 ],3,3
3019,网络 语言 有时 候 真 不 明白 。 今天 早上 刚刚 明白 啥 是 深井 冰 。,3,4
3020,胃镜 做 好   恶心 死 我 了   留 了 一 缸 残 吐 水   快 倒是 很快   饿 shi 我 了,2,2
3021,"最近 比较 喜欢 听 井 博然 的 新歌 , 爱情 掉 在 哪里 。",1,1
3022,你 这样 要 我 怎么 敢 回去 !,4,4
3023,站 郑 多燕 旁边 内 大 嘴巴 娘 炮 男人 真是 他 娘 的 骚 啊 。,3,3
3024,非 诚 的 男 嘉宾 都 是 三 次 恋爱 . 我 弟 也 说 他 也 是 要 三 次 [ 衰 ] [ 偷 笑 ],5,5
3025,话 还是 要 少 说 一点 。,0,0
3026,天黑 请 闭眼 。,0,0
3027,"张 学友 的 如果 爱 成 了 我 的 催眠 曲 , 给 自己 说 晚安 …",1,1
3028,财政 供养 的 人员 只 减 不 增 是 什么 意思 ?,3,4
3029,我 想 出去 玩儿 … … 出去 玩儿 !,2,2
3030,全身 怎么 动 怎么 痛 [ 泪 ] 马拉松 后遗症 啊 啊 啊 啊 啊 啊 啊 啊 啊,2,2
3031,"痛苦 与 纠结 的 回忆 与 当下 , 头痛 得 像 要 裂开 ! fk !",4,2
3032,"成都 的 朋友 些 , 又 地震 了 ?",0,0
3033,我 讨厌 你,3,3
3034,我 决定 今年 暑假 给 自己 织 一 件 毛衣 ! 再 给 谁 织 条 围巾 !,5,4
3035,"我 说 我 想 去 学习 , 有 没有 人 信 啊 ? [ 可怜 ]   [ 可怜 ]",3,2
3036,i   am   so   sad .,2,1
3037,"就 爱 看 唱歌 节目 , 因为 唱歌 不好 , 但是 喜欢 唱歌 [ 笑 哈哈 ]",1,1
3038,"正 所谓 世事 难 料 , 一 天 一 间 或许 就 会 改变 你 的 一生 !",0,0
3040,贵在 人心,0,0
3041,我 真 特 么 的 犯贱 啊 !,3,4
3042,"本来 , 相遇 已经 是 一 件 很 了不起 的 事 了 .",2,2
3043,累 啊   快要 装 不 下去 了,2,3
3044,"今天 终于 剪 头发 了 , 有 大 变化 哦 … … @ 喙 星 的 眼泪",5,5
3045,要 把 自己 嫁 出去 了 !,5,4
3046,肥 来 了 啦 啦 啦 啦 啦 啦 啦 ~ ~ 想 死 虎 纠 了 [ 害羞 ],5,5
3047,"如果 有 一 天 , 如果 有 那么 一 天 。 。 。",2,0
3048,快递 怎么 还 没 到 啊 啊 啊 啊 _ ( _   」 ∠ ) _,3,2
3049,一直 挣扎 在 公司 最低 层 的 我 [ 浮云 ],2,2
3050,我 弟弟 要 来 了 . . . . . . . . 谁 要 见见 我 弟弟 . . . . .,0,1
3051,"悲剧 了 , 还要 交 书费 , 我 没 钱 啊 , 啊 ! 不 活 了 !",2,2
3052,男人 累 了 怎么 办 ?,0,2
3053,"mmd 七点 多 还 驳 , 真是 你 辛苦 我 也 跟着 辛苦 [ 抓狂 ]",4,2
3054,跟 老板 请假 了 说 下周 看 ti [ 微笑 ] 咯咯 咯,5,5
3055,"春城 无处 不 飞 灰 , 条条 大道 皆 不通",3,3
3056,[ 晕 ]   / / @ 家 猫 是 只 乖 猫 猫 :   … … … … … …,3,0
3057,[ 汗 ] 我 做 电话 营销 就 悲剧 了,3,2
3058,相当 劳累 … …,2,2
3059,"也许 , 我 正 被 羡慕 着 ~ 所以 ~ 加油 吧 ~ 北 鼻 ~",1,1
3060,no   calls   anymore..iphone   to   itouch ? ?   thousand   times   no ! ! [ 不要 ],2,2
3061,我 长 得 难道 真的 那么 像 思 密 达 嘛 [ 黑线 ] [ 鄙视 ] 不 开心 了 [ 泪 ],3,2
3062,"胶卷 没 装 好 , 一 下午 又 白 忙活 了 … [ 泪 ] [ 泪 ] [ 泪 ]",2,2
3063,"那些 喜欢 用 ~ 代替 句号 的 抠 脚 大汉 们 , 你们 是 有 多 傲娇 ~",3,1
3064,有 种 不明 的 闷 。 。 。,2,0
3065,[ 围观 ],0,0
3066,嘤 嘤嘤 好 喜欢 的 英伦 风 [ 太 开心 ],1,1
3067,今天 坚决 不 开 电脑 、 怎么 失眠 也 不 开 ! 翻滚 ing,3,4
3068,出门 扫 街 !,5,4
3069,final 终 考 完了 啦 啊 啊 啊 啊 准备 回国 嘿嘿 嘿嘿,5,5
3070,"求 吃饭 , 求 陪同 , 吃饭 的 吼 一 声 , 时限 至 12 点 半",0,3
3071,je   suis   douee,0,0
3072,突然 感觉 在 香港 的 几 天 那么 轻松 和 舒心,1,5
3073,又 是 一个 不 属于 自己 的 周末 ! ! ! 情 何以 堪 …,2,2
3074,不 开心,2,5
3075,[ 蝴蝶 结 ] 人生 若 只 如 初见 [ 蝴蝶 结 ],0,5
3076,今日 转 凉 了 . . @ rain_rw   你 一定 没着 衫 [ 怒 ] [ 怒 ],4,4
3077,[ 泪 ]   我 想 吃 牛排 ~   我 想 吃 pizza ~   我 想 出去 玩 ~ ~ ~ ! ! !,2,2
3078,脖子 转 不 了 了,2,3
3079,"人 一旦 掉 入 情绪 的 陷井 , 就 错误 接着 错误 。",0,3
3080,明年 这 玩意 还有 人 看 么   吐槽 的 乐趣 也 没 了,3,3
3081,银行 跟 你 说 六点 下班   如同 放屁   因为 一定 开会 到 七 点,3,3
3082,胃 痛 。 要 死 。 。 。,2,2
3083,倒霉   软件 加密 狗 丢 了   哎,2,2
3084,"鹅毛大雪 , 重于 切糕 。",3,0
3085,[ 兔子 ] 今天 准备 包 饺子 ~ 呵呵 [ 花心 ],5,5
3086,"一个 模版 值 2000rmb ,   可惜 我 没有 … …",2,2
3087,"许多 年 来 , 因为 太多 太多 太多 的 原因 不能 养 猫",2,3
3088,海市蜃楼 ! ! ! ! ! !,5,4
3089,今天 各种 爽 ! 各种 开心 ! 哈哈,5,5
3090,今晚 出面 真 系 好 大风 啊 。 。 。 [ 台风 ],2,5
3091,"谦谦君子 , 温润 如 玉 。 我 又 想到 一个 人 。 [ 偷 笑 ]",5,5
3092,"我 以后 看见 广告 的 绝对 删除 , 走 到 哪里 都 是 广告",3,3
3093,"大伙 早安 , 我 先 洗洗 睡 了 。 [ 打 哈欠 ] [ 打 哈欠 ] [ 打 哈欠 ]",0,2
3094,换 个 啥 手机 好 呢 ?,0,3
3095,还是 走 了   我 坚持 过 [ 强壮 ]   会 有 很 好 哒 ~ [ 推荐 ] 明天 [ 太阳 ],5,5
3096,"ioa 添加 不 了 附件 , 试 了 好多 办法 也 不行 , 愁",2,3
3097,上海 电影 节 果然 6 月 啊 … … 微妙 的 时节 … …,1,2
3098,周五 下午 过 的 也 太 慢 了 吧 ! ! ! 还有 59 分钟 ~ 开始 数 秒 ~,3,5
3099,想 吃 砂锅 烤肉 冰果 啤 。,2,0
3100,"万圣节 象征 物 , 您 知道 的 有 哪些 ?",0,1
3101,有 木 有人 记得 今天 是 什么 日子 ? 8 月 14 日 ?,0,0
3102,"悲剧 , 体检 居然 忘记 带 身份 证",2,2
3103,好 无聊 啊   求 勾搭   求 聊天   求 bf,2,3
3104,时 不时 就 来 个 惊喜 [ 哼 ],1,4
3105,祝 我 生日 快乐 ! [ 蛋糕 ],1,1
3106,我 不 难过 。 我 tm 难受 !,4,2
3107,懂 了 ~ 后知后觉 的 我 ! 感谢 你 ! 被 爱 的 人 不 需要 道歉 。,2,1
3108,专八 。 我们 做爱 好 吗 ?,0,2
3109,我 休息 十 天 。 没 地方 去 … … 快 本   长沙 [ doge ] [ doge ] 进 不 去 吧,3,2
3110,卡 几 嘛 [ 拜拜 ],3,3
3111,心情 不 爽 。 。 。,3,2
3112,去 学校 了,0,4
3113,[ 汗 ] 我 要 喉 糖,2,2
3114,看 跨 年 演唱 会 真 开心 啊 !,5,5
3115,"弟 大 物 勃 , 阴 小 湿 大 — — 豆瓣 。 。 。",3,1
3116,还有 一个 月 多 一点 就 出 国际 考 成绩 了,2,3
3117,好 声音 广告 真 多 [ 哼 ] [ 抓狂 ] [ 哼 ] [ 抓狂 ],3,3
3118,再 淘宝 就 剁 手指 [ 生病 ] [ 生病 ],3,3
3119,不行 啊 这样 的 身子 骨 拿 来 干嘛 。 。 。 。 烦 死 了,4,3
